GEOID,map_id,borough,population,poverty_rate,income,lat_t,lon_t,providers,provider_time_weight_sum,avg_provider_time_weight,density,z_density,min_dist,inv_dist,z_access_map,FI,FI2,fragmentation_index,FI_combined,frag_q,surface_version,_ID
36081047900,36081047900,Queens,6032,0.17623159,87515,40.7354855,-73.8837114,0,0,0,0,0.1993578175,0.002977339727,9.710874282,0.5080277393,-0.5080277393,-0.3086699219,-0.2041895026,-0.2041895026,Moderate-low fragmentation,HFI_v1_1_corrected_actual_provider_density_cms_acute_enforced,424
36081048000,36081048000,Queens,2370,0.17910448,86250,40.712889,-73.7730045,2,0.565476194,0.282738097,0.0002385975502,-0.488740648,0.002332300449,9.772085604,0.6629149894,-0.6629149894,-1.151655637,-0.7618364314,-0.7618364314,Least fragmented,HFI_v1_1_corrected_actual_provider_density_cms_acute_enforced,1920
36081048100,36081048100,Queens,6551,0.17221603,73983,40.7422192,-73.8850516,0,0,0,0,0.1993578175,0.002204275194,9.784326518,0.6938890229,-0.6938890229,-0.4945312054,-0.3271393605,-0.3271393605,Low fragmentation,HFI_v1_1_corrected_actual_provider_density_cms_acute_enforced,1758
36081048200,36081048200,Queens,1311,0.18087649,110729,40.7148351,-73.7679226,0,0,0,0,0.1993578175,0.00345884351,9.66567928,0.3936676911,-0.3936676911,-0.1943098737,-0.1285387193,-0.1285387193,Moderate-low fragmentation,HFI_v1_1_corrected_actual_provider_density_cms_acute_enforced,580
36081048301,36081048301,Queens,2061,0.17467248,60568,40.742098,-73.8896448,0,0,0,0,0.1993578175,0.004510705634,9.568397744,0.1475094777,-0.1475094777,0.05184833978,0.03429840733,0.03429840733,Moderate-high fragmentation,HFI_v1_1_corrected_actual_provider_density_cms_acute_enforced,188
36081048302,36081048302,Queens,1719,0.26061663,85724,40.7414691,-73.8946849,0,0,0,0,0.1993578175,0.003729513992,9.640457778,0.329847978,-0.329847978,-0.1304901605,-0.08632107982,-0.08632107982,Moderate-low fragmentation,HFI_v1_1_corrected_actual_provider_density_cms_acute_enforced,1369
36081048400,36081048400,Queens,4942,0.18499574,86726,40.7158173,-73.7599374,0,0,0,0,0.1993578175,0.01034761001,9.062271488,-1.133176873,1.133176873,1.33253469,0.8814904735,0.8814904735,Most fragmented,HFI_v1_1_corrected_actual_provider_density_cms_acute_enforced,581
36081048500,36081048500,Queens,5205,0.16023055,77614,40.7397517,-73.8843383,1,0.2380952388,0.2380952388,4.574356173e-05,0.06743661962,0.00137298989,9.864560581,0.8969108343,-0.8969108343,-0.8294742146,-0.5487088805,-0.5487088805,Low fragmentation,HFI_v1_1_corrected_actual_provider_density_cms_acute_enforced,425
36081048900,36081048900,Queens,1838,0.23956044,61552,40.7373155,-73.8921827,0,0,0,0,0.1993578175,0.006861220125,9.357931707,-0.385047327,0.385047327,0.5844051445,0.3865922375,0.3865922375,High fragmentation,HFI_v1_1_corrected_actual_provider_density_cms_acute_enforced,426
36081049201,36081049201,Queens,2545,0.14819182,60797,40.7243939,-73.7600775,0,0,0,0,0.1993578175,0.01576751941,8.638001445,-2.206736775,2.206736775,2.406094593,1.591665476,1.591665476,Most fragmented,HFI_v1_1_corrected_actual_provider_density_cms_acute_enforced,367
